,text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo_full_name,geo_id,geo_bbox,tweet_coordinate,username,num_followers,search_keywords,search_neighbourhood,sentiment,score,score_matches,relevant
1030,"@death_cab_for_Q @SouthernDiscom6 @ianbremmer I dont think it was unprovoked,the us has been infiltrated in a debt ridden ukraine for some time now-At one point Victoria Nuland was handing out cookies in Kiev, in an attempt to“show her sympathy”to locals,she ended up toppling the legitimate government https://t.co/Vv9dNHtt2P",2022-06-20 13:34:28.582067,1538557301052915715,2022-06-19 16:20:20+00:00,1,0,1,0,,,,,tania_cm,80,Victoria (bc housing OR downtown victoria business association OR makola housing society OR rotary club of victoria OR dvba OR umbrella society OR victoria ready OR affordable housing OR point in time OR frontline OR frontline worker OR theft OR homelessness OR drugs OR collude) lang:en -is:retweet,Victoria,Negative,0.759092390537262,,
1327,"@MS_athlete Zoning ""training"" sounds a bit like a euphemism for stalling. New councils in both YYJ and YVR should commit to mass upzoning, with conditions that new housing meet stringent minimums for non-market housing large enough for families. Lots of it.

1/2",2022-06-20 13:35:15.748514,1538257430240325632,2022-06-18 20:28:45+00:00,1,0,3,0,,,,,vergekent,353,YYJ (avi OR cool aid society OR homelessness services association of bc OR red cedar café OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,YYJ,Neutral,0.5545014142990112,,
569,"@MrPeterMasters @RMTunion But, of course, you are, aren't you!

I fully support our front line hero's, not the duplicitous Unicorn Hunters promising sunlit uplands, and actually screwing our Fisheries, Farmers, Industry and Consumers!",2022-06-20 13:33:39.094397,1538956725667127297,2022-06-20 18:47:30+00:00,0,0,0,0,,,,,Voiceofconscie3,94,(saanich OR uplands OR quadra village OR central park OR point ellice park OR nuu-chah-nulth OR malahat) (beacon community services OR fernwood community association OR mental health society of greater victoria OR safer victoria OR the existence project OR united way southern vancouver island OR victoria real estate board OR subsidized housing OR pit count OR front line OR front line worker OR stolen OR camper OR evicted OR collusion) lang:en -is:retweet,saanich OR uplands OR quadra village OR central park OR point ellice park OR nuu-chah-nulth OR malahat,Negative,0.4183867871761322,,
1132,"""A man has been arrested after a 10-year-old girl was sexually assaulted at London’s Victoria station.

The victim was inside Boots in Victoria Place Shopping Centre at 2.50pm on Saturday when she was attacked, police said.""

https://t.co/s6TfsIw74P",2022-06-20 13:34:31.708467,1538922089360629763,2022-06-20 16:29:52+00:00,0,0,1,0,,,,,Nineteen8OFour,2439,"Victoria (boys ""and"" girls club south vanouver island OR foundry victoria OR our place society OR salvation army victoria OR the homeless ideas podcast OR vancouver island mental health society OR victoria sexual assault centre OR peer housing support OR pit OR frontline worker OR healthcare OR encampment OR camping OR eviction OR overdose) lang:en -is:retweet",Victoria,Negative,0.7006722688674927,,
1308,"Join us at our press conference where we are  introducing 2 of our outstanding candidates to run for Langford City Council this fall.

Langford: you CAN have a voice &amp; these candidates will bring it to the table for you!
https://t.co/4hMSHcnuL5
#langfordbc #yyj #bcpoli https://t.co/5oC4ysHUzZ",2022-06-20 13:35:12.872558,1537125777614835712,2022-06-15 17:31:58+00:00,1,2,7,4,,,,,VibrantVictoria,13018,YYJ (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,YYJ,Positive,0.7457360029220581,,
27,"Sidney Lumet's 'BEFORE THE DEVIL KNOWS YOU'RE DEAD' is a well constructed family drama,meshed lightly with crime,riven with teriffic performances &amp; direction.Allows a great script to emerge &amp; deftly makes a tricky,time shifting narrative works like its fat easier than it looks. https://t.co/eroKTwTwGm https://t.co/T3LjLrMSmu",2022-06-20 13:31:46.013429,1538181594993008645,2022-06-18 15:27:24+00:00,0,0,3,1,,,,,KaptanSparoow,122,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (avi OR cool aid society OR homelessness services association of bc OR red cedar café OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew,Positive,0.6706743240356445,,
1339,"I wanna give a shout out to a(nother?) #saanichvotes candidate who is really present, on this file and for the LGBTQ2S+ community #yyj. 

We all need to be allies right now. And not because we are ‘woke’ nor because it’s #Pride2022 . 
But because violence and hate are intolerable https://t.co/naKMWK5R4x",2022-06-20 13:35:17.174796,1538206828848222208,2022-06-18 17:07:41+00:00,0,0,4,1,"Saanich, British Columbia",52bc3157f597168a,"[-123.478699, 48.433384, -123.262977, 48.559067]",,Trevor4saanich,469,"YYJ (anawim house OR district of north saanich OR island health OR rentsmart OR the cridge centre for the family OR town of view royal OR victoria native friendship centre OR low-income OR coordinated access ""and"" assessment OR frontline worker OR frontline OR violence OR low-income OR addict OR social housing) lang:en -is:retweet",YYJ,Positive,0.8872496485710144,,
724,"New York Governess Victoria Coleman survives an attack but finds herself in a #family way. When her employer finds out, the kind man tells her she is safe there. Check out A HUSBAND FOR VICTORIA! Book 1 in The Brides of Golden City Kindle: https://t.co/y0yXqsXYym",2022-06-20 13:34:22.169920,1538910804627668995,2022-06-20 15:45:02+00:00,0,0,0,0,,,,,CynthiaWoolf,29703,Victoria (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,Victoria,Positive,0.6041358113288879,,
1250,"@Christian_ESEM I literally just past Victoria... The city is vibrant tonight.

Friggin love it",2022-06-20 13:34:33.255603,1537895430599548935,2022-06-17 20:30:18+00:00,2,0,4,0,,,,,RetroPrincess1,7477,Victoria (burnside gorge neighbourhood association OR greater victoria acting together OR ops OR solid outreach OR the john howard society of victoria OR vibrant victoria OR victoria tenant action group OR peer housing support program OR harm reduction OR front line worker OR complex care OR camp OR tent OR evict OR overdosed) lang:en -is:retweet,Victoria,Positive,0.9765836000442504,,
742,@shravaka I just wonder in Victoria and elsewhere do they turn the poker machines off before medical equipment.  Sad world but I won't be here long poor kids and grandchildren.,2022-06-20 13:34:22.169920,1538812455702278144,2022-06-20 09:14:13+00:00,1,0,6,1,,,,,DianeNaumoff,82,Victoria (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,Victoria,Negative,0.8726804852485657,,
