text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo_full_name,geo_id,username,num_followers,search_keywords,search_neighbourhood
@FreeThinkerAno2 You have the right to film and report on public property. You have the legal right to record anything the eye can see in public despite Hollywood educated people telling you otherwise. The Supreme Court has already ruled on this. You have the right to park a camper with a camera,2022-08-08 08:54:19.641644,1554321028788076544,2022-08-02 04:19:45+00:00,1,0,1,0,,,uniteUSAagain,2615,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR pacifica housing OR sooke homelessness coalition OR the mustard seed OR victoria brain injury society OR victoria women in need OR lived experience OR safe supply OR frontline OR temporary shelter OR camper OR unhoused OR narcotics OR social structure) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"8/ And finally, right, I don’t live in Royal Bay, in Colwood Corner or on Triangle Mountain. But buddy, I have a vested interest. I walk all corners of our city. I hear opinions from every nook and cranny. We are elected to represent all areas not just our own hood.",2022-08-08 08:54:19.641644,1554186344120799232,2022-08-01 19:24:34+00:00,3,0,11,2,,,GordieLogan,1187,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR pacifica housing OR sooke homelessness coalition OR the mustard seed OR victoria brain injury society OR victoria women in need OR lived experience OR safe supply OR frontline OR temporary shelter OR camper OR unhoused OR narcotics OR social structure) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"Sidney. I drank until I was about 35 yo. Went to a workshop on chemical dependency. Walked into my home and announced that there would be no more drinking in the house. Forty years have passed, and I have not had an alcoholic beverage. I have great faith in you.Lots of support. https://t.co/SMIHxfYhii I think that I'll be sober forever",2022-08-08 08:54:22.220248,1555813871163772929,2022-08-06 07:11:47+00:00,0,0,0,0,,,rubyeve70,1294,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
@sidney_layne Hi you can message my friend on instagram @babyrelco. She got tickets for sale. Affordable price,2022-08-08 08:54:22.220248,1554954548606914563,2022-08-03 22:17:08+00:00,0,0,0,0,,,Immortal_meya,2,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"“Being poor is only romantic in books.”
  — Sidney Sheldon https://t.co/8wSm6ANPbL",2022-08-08 08:54:24.951813,1556645823215280130,2022-08-08 14:17:39+00:00,0,0,0,0,,,AnityaOrg,0,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"""Being poor is only romantic in books.""

~Sidney Sheldon!",2022-08-08 08:54:24.951813,1556641649589108738,2022-08-08 14:01:04+00:00,0,0,1,0,,,isah_mgm_,131,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"“Being poor is only romantic in books.”
— Sidney Sheldon",2022-08-08 08:54:24.951813,1556633272947716096,2022-08-08 13:27:47+00:00,0,0,0,0,,,m_romiee001,25,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"@ringwodian And you're also forgetting that you started it, by directing an insult at someone you've 'never heard of'. Clearly the intellectual standard of Labour's local reps is as poor as its national leadership. But keep digging the hole. You can send me a postcard of Sidney Opera House.",2022-08-08 08:54:24.951813,1556605841515679744,2022-08-08 11:38:47+00:00,1,0,0,0,,,zlotymjp,909,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"In the meantime, the rest of you should shelter in place while security does their job and Joan and I look over Sidney's file to figure out how best to subdue him.",2022-08-08 08:54:24.952814,1556588325422526464,2022-08-08 10:29:11+00:00,0,0,0,0,,,agentgreenbot,5,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"“Being poor is only romantic in books.”
— Sidney Sheldon",2022-08-08 08:54:24.952814,1556581934100525056,2022-08-08 10:03:47+00:00,0,0,0,0,,,farhanaaltaf1,538,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
