,text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo_full_name,geo_id,geo_bbox,tweet_coordinate,username,num_followers,search_keywords,search_neighbourhood
0,"24 Hours Left -  Manager of GIS Data - City of Colwood (Colwood, BC) https://t.co/t42Q73VSQQ",2022-07-18 14:24:50.164507,1548937500017602560,2022-07-18 07:47:32+00:00,0,0,0,0,,,,,CivicJobs,4009,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR pacifica housing OR sooke homelessness coalition OR the mustard seed OR victoria brain injury society OR victoria women in need OR lived experience OR safe supply OR frontline OR temporary shelter OR camper OR unhoused OR narcotics OR social structure) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
1,"Wildcat Industrial at Allandale District located in City of Colwood! Thank you Blackcrete for capturing these amazing drone shots. Stay tuned for more progress on this new development taking place on Vancouver Island. 

#ABetterWay #OmicronDevelopment #CityofColwood https://t.co/Uq56PPAiY9",2022-07-18 14:24:50.164507,1547684776907141121,2022-07-14 20:49:40+00:00,0,0,0,0,,,,,omicronaec,448,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR pacifica housing OR sooke homelessness coalition OR the mustard seed OR victoria brain injury society OR victoria women in need OR lived experience OR safe supply OR frontline OR temporary shelter OR camper OR unhoused OR narcotics OR social structure) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
3,#99cents! Sidney's father is found dead floating in a vat of beer accompanied by two pole dancers &amp; their performing sheep. Then he's abducted by a group of thieving alcoholic aliens. TOXIC BEER by @SimonbullockA #Win a $20 Amazon/BN GC.  @LASReviews https://t.co/ZzgkpcTd8m https://t.co/ASHHL4AJHi,2022-07-18 14:24:51.587124,1548132875265986563,2022-07-16 02:30:15+00:00,0,0,0,0,,,,,GoddessFish,11341,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
4,#99cents! Sidney's father is found dead floating in a vat of beer accompanied by two pole dancers &amp; their performing sheep. Then he's abducted by a group of thieving alcoholic aliens. TOXIC BEER by @SimonbullockA #Win a $20 Amazon/BN GC  @LASReviews https://t.co/ZzgkpcTd8m https://t.co/YQeT7hyPEm,2022-07-18 14:24:51.588107,1548072489502183428,2022-07-15 22:30:17+00:00,0,0,1,1,,,,,candy735,241,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
5,#99cents! Sidney's father is found dead floating in a vat of beer accompanied by two pole dancers &amp; their performing sheep. Then he's abducted by a group of thieving alcoholic aliens. TOXIC BEER by @SimonbullockA Win a $20 Amazon/BN GC! @LASReviews https://t.co/ZzgkpcTd8m https://t.co/SHfM3aZgUm,2022-07-18 14:24:51.588107,1548012125385216001,2022-07-15 18:30:26+00:00,0,0,2,0,,,,,doncorboni,46,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
6,#99cents! Sidney's father is found dead floating in a vat of beer accompanied by two pole dancers &amp; their performing sheep. Then he's abducted by a group of thieving alcoholic aliens. TOXIC BEER by @SimonbullockA Win a $20 Amazon/BN GC  @LASReviews https://t.co/ZzgkpcTd8m,2022-07-18 14:24:51.588107,1547951728384831495,2022-07-15 14:30:26+00:00,0,0,0,0,,,,,DQuinn1575,64,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
7,#99cents! Sidney's father is found dead floating in a vat of beer accompanied by two pole dancers &amp; their performing sheep. Then he's abducted by a group of thieving alcoholic aliens. TOXIC BEER by @SimonbullockA Win a $20 Amazon/BN GC. @LASReviews https://t.co/ZzgkpcTd8m,2022-07-18 14:24:51.588107,1547911344917078017,2022-07-15 11:49:58+00:00,0,0,0,0,,,,,timelock16,2176,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
8,#99cents! Sidney's father is found dead floating in a vat of beer accompanied by two pole dancers &amp; their performing sheep. Then he's abducted by a group of thieving alcoholic aliens. TOXIC BEER by @SimonbullockA #Win a $20 Amazon/BN GC.  @KnottyMarie https://t.co/hmqeHgF6iX https://t.co/Hya4i537BW,2022-07-18 14:24:51.588107,1547776759717720069,2022-07-15 02:55:10+00:00,0,0,1,0,,,,,stanbecker603,96,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
9,#99cents! Sidney's father is found dead floating in a vat of beer accompanied by two pole dancers &amp; their performing sheep. Then he's abducted by a group of thieving alcoholic aliens. TOXIC BEER by @SimonbullockA #Win a $20 Amazon/BN GC  @KnottyMarie https://t.co/hmqeHgF6iX https://t.co/dG8yBcJLh7,2022-07-18 14:24:51.588107,1547716372053909504,2022-07-14 22:55:12+00:00,0,0,0,0,,,,,coffeechgo,93,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
10,#99cents! Sidney's father is found dead floating in a vat of beer accompanied by two pole dancers &amp; their performing sheep. Then he's abducted by a group of thieving alcoholic aliens. TOXIC BEER by @SimonbullockA Win a $20 Amazon/BN GC!  @KnottyMarie https://t.co/hmqeHgF6iX https://t.co/i5IaoNVhN9,2022-07-18 14:24:51.588107,1547657523573841922,2022-07-14 19:01:22+00:00,0,0,0,0,,,,,NYwonk347,140,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
11,#99cents! Sidney's father is found dead floating in a vat of beer accompanied by two pole dancers &amp; their performing sheep. Then he's abducted by a group of thieving alcoholic aliens. TOXIC BEER by @SimonbullockA Win a $20 Amazon/BN GC  @KnottyMarie https://t.co/hmqeHgF6iX https://t.co/01QT4cGvTm,2022-07-18 14:24:51.588107,1547598093901647874,2022-07-14 15:05:13+00:00,0,0,0,0,,,,,PlantBasedClean,86,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
