,text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo_full_name,geo_id,geo_bbox,tweet_coordinate,username,num_followers,search_keywords,search_neighbourhood,sentiment,score,score_matches,relevant
265,"@Pafar @Super70sSports We walked thru/by many of the scenes where it was filmed in basic training, that gorge with the big bridge, the Russian/Czech “camp”, and a few other places.",2022-06-20 13:32:36.559250,1537554231028228099,2022-06-16 21:54:29+00:00,0,0,0,0,,,,,KaylAK47,3523,(sooke OR gonzales OR foul bay OR the gorge OR royal athletic park OR selkirk trestle OR wsáneć) (burnside gorge neighbourhood association OR greater victoria acting together OR ops OR solid outreach OR the john howard society of victoria OR vibrant victoria OR victoria tenant action group OR peer housing support program OR harm reduction OR front line worker OR complex care OR camp OR tent OR evict OR overdosed) lang:en -is:retweet,sooke OR gonzales OR foul bay OR the gorge OR royal athletic park OR selkirk trestle OR wsáneć,Neutral,0.8489781618118286,,
705,"@rachelbaxendale It’s called Foundation in Victoria. Has been for the whole 7 years I was on the school council of my daughters primary school. 

But you clearly CGAAF about reporting the actual truth, you just want to report the version you think your flog of an owner wants you to vomit our",2022-06-20 13:34:20.580331,1537375689573564417,2022-06-16 10:05:02+00:00,0,0,0,0,,,,,NikiBriscoe2,0,Victoria (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,Victoria,Neutral,0.7574872970581055,,
1254,"https://t.co/oLTQgvg43t Now Playing - If I Come Back by Victoria feat.Nick Colon-
Buy Now
https://t.co/wtJXaeKZdZ",2022-06-20 13:34:33.255603,1537844244878073856,2022-06-17 17:06:54+00:00,0,0,0,0,,,,,BerniePauly,3364,Victoria (burnside gorge neighbourhood association OR greater victoria acting together OR ops OR solid outreach OR the john howard society of victoria OR vibrant victoria OR victoria tenant action group OR peer housing support program OR harm reduction OR front line worker OR complex care OR camp OR tent OR evict OR overdosed) lang:en -is:retweet,Victoria,Neutral,0.8311026096343994,,
621,"Bruce Williams, CEO of the Greater Victoria Chamber of Commerce, is celebrating 2 years as CEO today! 🎉

Bruce joined The Chamber in the midst of the COVID-19 pandemic and has led the team through a turbulent time to continued success. 

#YYJBiz #victoriachamber #chambernetwork https://t.co/iq0YwGgGBr",2022-06-20 13:33:56.598085,1537186919091605504,2022-06-15 21:34:55+00:00,1,1,17,1,,,,,ChamberVictoria,10736,Greater Victoria (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,Greater Victoria,Positive,0.9394350051879884,,
78,@Sidney_Football Love it!  Saw Devan helping out at camp the night I was there.,2022-06-20 13:31:54.099034,1538169274023411713,2022-06-18 14:38:27+00:00,0,0,2,0,,,,,JaredLuginbill,6532,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (burnside gorge neighbourhood association OR greater victoria acting together OR ops OR solid outreach OR the john howard society of victoria OR vibrant victoria OR victoria tenant action group OR peer housing support program OR harm reduction OR front line worker OR complex care OR camp OR tent OR evict OR overdosed) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew,Positive,0.976547122001648,,
915,@COCVancouver We are cheering you on from Victoria. We had a drag event canceled here due to threats of gun violence. Everyone is reeling.,2022-06-20 13:34:25.320996,1538027746969890820,2022-06-18 05:16:04+00:00,0,0,3,0,,,,,ou812_Kess,4938,"Victoria (anawim house OR district of north saanich OR island health OR rentsmart OR the cridge centre for the family OR town of view royal OR victoria native friendship centre OR low-income OR coordinated access ""and"" assessment OR frontline worker OR frontline OR violence OR low-income OR addict OR social housing) lang:en -is:retweet",Victoria,Negative,0.4210754036903381,,
910,"@jay_pharm A drag show in Victoria BC was targeted with a shooting threat recently. Whether it's transphobia, homophobia or both triggering this, we can't be comfortable with people attempting to control others through violence. 

https://t.co/dYsjQ96Bqb",2022-06-20 13:34:25.320996,1538102404046102529,2022-06-18 10:12:44+00:00,0,0,0,0,,,,,PTTP76,358,"Victoria (anawim house OR district of north saanich OR island health OR rentsmart OR the cridge centre for the family OR town of view royal OR victoria native friendship centre OR low-income OR coordinated access ""and"" assessment OR frontline worker OR frontline OR violence OR low-income OR addict OR social housing) lang:en -is:retweet",Victoria,Negative,0.8956654071807861,,
1281,"MELBOURNE, AUSTRALIA! 

Melbourne is a vibrant city bursting with like, packed full of art, music, cafes and bars. 

Here are 5 reasons to move to #Melbourne, #Victoria, #Australia: https://t.co/FtjIbawHx0

#Ausmove #MovingtoMelbourne #LivinginMelbourne https://t.co/0dbLIasK64",2022-06-20 13:34:33.255603,1536955411873554433,2022-06-15 06:15:00+00:00,0,0,0,0,,,,,SeychellePrison,488,Victoria (burnside gorge neighbourhood association OR greater victoria acting together OR ops OR solid outreach OR the john howard society of victoria OR vibrant victoria OR victoria tenant action group OR peer housing support program OR harm reduction OR front line worker OR complex care OR camp OR tent OR evict OR overdosed) lang:en -is:retweet,Victoria,Positive,0.937025249004364,,
939,"A suspected thief is fighting for life after an alleged break-in at a fish and chip shop in Geelong in Victoria's west. #9News
https://t.co/zNl5vJPEUh",2022-06-20 13:34:26.836318,1538929676885716992,2022-06-20 17:00:01+00:00,2,0,1,0,,,,,9NewsSyd,173993,Victoria (aryze developments OR district of saanich OR literacy victoria OR restorative justice victoria OR the downtown victoria business association OR township of esquimalt OR victoria placemaking OR emergency housing OR reaching home OR front line worker OR front line OR thief OR homeless OR addicted OR povertypimps) lang:en -is:retweet,Victoria,Negative,0.6602463126182556,,
884,"Hello.... Lets get this straight.
You have done harm to me and my income, my job, my life, my friends and family all the time sitting back in the last 2 fkin Years whilst your Premier ran Victoria with fines and Police violence.

You want to stay 'connected'? https://t.co/dpUnbpFnGr",2022-06-20 13:34:25.320996,1538706473752330240,2022-06-20 02:13:05+00:00,0,0,1,0,,,,,HAPPY889123,313,"Victoria (anawim house OR district of north saanich OR island health OR rentsmart OR the cridge centre for the family OR town of view royal OR victoria native friendship centre OR low-income OR coordinated access ""and"" assessment OR frontline worker OR frontline OR violence OR low-income OR addict OR social housing) lang:en -is:retweet",Victoria,Negative,0.9030519127845764,,
