,text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo_full_name,geo_id,geo_bbox,tweet_coordinate,username,num_followers,search_keywords,search_neighbourhood,sentiment,score,score_matches,relevant
1287,"📣 The first of our Watercolour Pencils &amp; Ink Workshops is coming up soon! Learn watercolour techniques while bringing to life the vibrant colours of Victoria with NatureSketch expert Sue Macartney. 

Sign up today https://t.co/CTCMTqEmLq

#NatureSketch #learntowatercolour https://t.co/LrvatHFaIB",2022-06-20 13:34:33.255603,1536861303406485505,2022-06-15 00:01:02+00:00,0,0,1,1,,,,,EasterSealsBCY,679,Victoria (burnside gorge neighbourhood association OR greater victoria acting together OR ops OR solid outreach OR the john howard society of victoria OR vibrant victoria OR victoria tenant action group OR peer housing support program OR harm reduction OR front line worker OR complex care OR camp OR tent OR evict OR overdosed) lang:en -is:retweet,Victoria,Positive,0.7152756452560425,,
851,"@JennettaQB There's an organisation here in Victoria.... AHV.... Aboriginal Housing Victoria... now thoroughly confused... why so wrong for the word Aboriginal used by Ita?  Instead of living as a victim, Jeanette, wouldn't your life be happier if you felt empowered by your heritage",2022-06-20 13:34:23.740307,1538207591662518272,2022-06-18 17:10:43+00:00,0,0,0,0,,,,,angthebandit,947,Victoria (avi OR cool aid society OR homelessness services association of bc OR red cedar café OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,Victoria,Negative,0.8050438761711121,,
712,Proposal: Report all verified intel to the Grand Hall. City resources can be utilized to assist in the location of Victoria.,2022-06-20 13:34:22.169920,1538958379619561473,2022-06-20 18:54:04+00:00,0,0,0,0,,,,,fI0bot,24,Victoria (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,Victoria,Neutral,0.9189069867134094,,
339,"One way we can lower Chicago's traffic violence rate is road diets on streets that are too big for urban areas. 5-lane North Ave. has seen many fatal crashes. Wilberto Rivera, died Saturday after a driver struck him on 5/27 on North next to Humboldt Park.
https://t.co/wwRJCOLYkb https://t.co/hUxTCScW49",2022-06-20 13:32:55.559403,1537459244089462786,2022-06-16 15:37:03+00:00,3,3,54,5,,,,,greenfieldjohn,7887,"(esquimalt OR north park OR millstream OR victoria west OR topaz park OR 900-block pandora avenue OR tsawout) (anawim house OR district of north saanich OR island health OR rentsmart OR the cridge centre for the family OR town of view royal OR victoria native friendship centre OR low-income OR coordinated access ""and"" assessment OR frontline worker OR frontline OR violence OR low-income OR addict OR social housing) lang:en -is:retweet",esquimalt OR north park OR millstream OR victoria west OR topaz park OR 900-block pandora avenue OR tsawout,Negative,0.7061618566513062,,
1509,"This is a great initiative kudos to @ConcertProp 

It would be great if this program could be joined by other building owners and extended to include housing homeless citizens https://t.co/7kMBDGMQdx",2022-06-20 14:01:13.092913,1537838472899317760,2022-06-17 16:43:58+00:00,0,0,0,0,,,,,alanrycroft,1195,(from:majatait OR from:adriandix OR from:r_garrison OR from:elizabethmay OR from:alanrycroft) (aryze developments OR district of saanich OR literacy victoria OR restorative justice victoria OR the downtown victoria business association OR township of esquimalt OR victoria placemaking OR emergency housing OR reaching home OR front line worker OR front line OR thief OR homeless OR addicted OR povertypimps) lang:en -is:retweet,individual,Positive,0.957758903503418,,
918,"@oneunderscore__ @korisidaway It's happening in Canada, too. Yesterday in Victoria BC: https://t.co/KZxFW1UNEZ",2022-06-20 13:34:25.320996,1537970819434893313,2022-06-18 01:29:52+00:00,0,0,12,7,,,,,Dan_Cam,173,"Victoria (anawim house OR district of north saanich OR island health OR rentsmart OR the cridge centre for the family OR town of view royal OR victoria native friendship centre OR low-income OR coordinated access ""and"" assessment OR frontline worker OR frontline OR violence OR low-income OR addict OR social housing) lang:en -is:retweet",Victoria,Neutral,0.8707690834999084,,
1412,"Please join the M'akola team in congratulating Alita Tocher, Senior Director of Housing Operations, in obtaining her Graduate Certificate in Project Management. We had no doubt you could do it Alita, you're a rock star at everything you do. So honoured you are a part of our team. https://t.co/Qv7itH0EzB",2022-06-20 13:38:32.309503,1538190202711187456,2022-06-18 16:01:37+00:00,0,1,10,0,,,,,VANDUpeople,8107,(from:svdpvi OR from:makolahousing OR from:vandupeople OR from:spd_community OR from:anawimhouse) (avi OR cool aid society OR homelessness services association of bc OR red cedar café OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,individual,Positive,0.981896996498108,,
879,"Victoria's DPP is seemingly seeking special leave at @highcourtofaus to appeal a VSCA decision that lowered a rape sentence from 8 to 3 years, citing D's lack of criminal record and lack of 'violence': https://t.co/QI02EBtoKG. https://t.co/IXAVYLl87q",2022-06-20 13:34:25.320996,1538774114143711233,2022-06-20 06:41:52+00:00,0,0,0,1,,,,,jeremy_gans,4879,"Victoria (anawim house OR district of north saanich OR island health OR rentsmart OR the cridge centre for the family OR town of view royal OR victoria native friendship centre OR low-income OR coordinated access ""and"" assessment OR frontline worker OR frontline OR violence OR low-income OR addict OR social housing) lang:en -is:retweet",Victoria,Neutral,0.777177631855011,,
1059,Trying to get these water balloons ready to throw at Victoria and dropped them all on myself… lmao,2022-06-20 13:34:28.583074,1538206160230154240,2022-06-18 17:05:01+00:00,0,0,0,0,,,,,ward1wilson,5243,Victoria (bc housing OR downtown victoria business association OR makola housing society OR rotary club of victoria OR dvba OR umbrella society OR victoria ready OR affordable housing OR point in time OR frontline OR frontline worker OR theft OR homelessness OR drugs OR collude) lang:en -is:retweet,Victoria,Negative,0.5476797223091125,,
69,"@milkyoatlatte night shift by lucy dacus
cats by macseal
new year’s eve (2010 rerelease) by mal blum
such great heights by the postal service
little secrets by passion pit
a better son/daughter by rilo kiley
sin triangle by sidney gish
all of Crush on Me by sir babygirl, but especially Heels",2022-06-20 13:31:52.766361,1537626985467355137,2022-06-17 02:43:35+00:00,1,0,0,0,,,,,anicanyounot,1266,"(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (boys ""and"" girls club south vanouver island OR foundry victoria OR our place society OR salvation army victoria OR the homeless ideas podcast OR vancouver island mental health society OR victoria sexual assault centre OR peer housing support OR pit OR frontline worker OR healthcare OR encampment OR camping OR eviction OR overdose) lang:en -is:retweet",colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew,Positive,0.6569297313690186,,
1072,"@abcnews I hope this package includes an assurance that women only crisis services will remain female only? Here in Victoria men are abusing sex self ID laws intended for trans people to access women only services like homelessness, DV, rape crisis, causing vulnerable women further trauma",2022-06-20 13:34:28.583074,1538033581511286785,2022-06-18 05:39:15+00:00,3,0,19,1,,,,,pamela01116318,78,Victoria (bc housing OR downtown victoria business association OR makola housing society OR rotary club of victoria OR dvba OR umbrella society OR victoria ready OR affordable housing OR point in time OR frontline OR frontline worker OR theft OR homelessness OR drugs OR collude) lang:en -is:retweet,Victoria,Negative,0.7608810067176819,,
1331,"Tell me again how low-mid income first-time homebuyers can get into the housing market?

#missingmiddle 
#AffordableHousing 
#yyjpoli
#yyj https://t.co/Ui1K7GlfrT",2022-06-20 13:35:15.748514,1537994234061389825,2022-06-18 03:02:54+00:00,0,0,1,0,,,,,420_Bike_Life,179,YYJ (avi OR cool aid society OR homelessness services association of bc OR red cedar café OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,YYJ,Negative,0.5084936618804932,,
1333,The #Nanaimo region is taking big steps to secure its econ future with investments into shipping infrastructure &amp; job creation. The city is also moving forward on large-scale housing developments as it battles low vacancies. https://t.co/tPxz0kUGIq #yyj #nanaimorealestate,2022-06-20 13:35:15.748514,1537937791593590787,2022-06-17 23:18:37+00:00,0,0,1,1,,,,,kevinalbersBC,635,YYJ (avi OR cool aid society OR homelessness services association of bc OR red cedar café OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,YYJ,Positive,0.8606497049331665,,
821,"Police have launched an investigation after the body of a woman was found inside a home in a quiet suburban street.

https://t.co/eta00rtdy5",2022-06-20 13:34:23.740307,1538708211993395202,2022-06-20 02:20:00+00:00,1,0,5,1,,,,,HAPPY889123,313,Victoria (avi OR cool aid society OR homelessness services association of bc OR red cedar café OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,Victoria,Neutral,0.826433002948761,,
941,"I interviewed @Victoria_Spratt about her brilliant new book on how we can tackle Britain's housing emergency for @HUCKmagazine. Out now.

https://t.co/Zayda5qp3v",2022-06-20 13:34:26.836318,1538883172133392387,2022-06-20 13:55:13+00:00,1,0,44,8,,,,,thediyora,33073,Victoria (aryze developments OR district of saanich OR literacy victoria OR restorative justice victoria OR the downtown victoria business association OR township of esquimalt OR victoria placemaking OR emergency housing OR reaching home OR front line worker OR front line OR thief OR homeless OR addicted OR povertypimps) lang:en -is:retweet,Victoria,Positive,0.6400617361068726,,
454,"🍔If you are in Esquimalt, near Gorge and Tillicum:m, just got this from an unhoused: 
“Is there any food available tonight I missed our place and the mustard seed because the Saanich pd was here.” DM if you can help.
Plus #DefundThePolice #RefundCommunity #yyjpoli https://t.co/P8htjPmuuf",2022-06-20 13:33:28.853576,1537621037042438144,2022-06-17 02:19:57+00:00,0,0,0,0,,,,,self_govern4us,799,(saanich OR uplands OR quadra village OR central park OR point ellice park OR nuu-chah-nulth OR malahat) (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR pacifica housing OR sooke homelessness coalition OR the mustard seed OR victoria brain injury society OR victoria women in need OR lived experience OR safe supply OR frontline OR temporary shelter OR camper OR unhoused OR narcotics OR social structure) lang:en -is:retweet,saanich OR uplands OR quadra village OR central park OR point ellice park OR nuu-chah-nulth OR malahat,Neutral,0.4997290074825287,,
1088,Help raise £12500 to send Saul on his dream holiday to America or camper van.. Please #donate on @justgiving and RT https://t.co/PMD1A8UAZ2,2022-06-20 13:34:30.094929,1538492162437955586,2022-06-19 12:01:29+00:00,0,0,0,0,,,,,paoloNPI,422,Victoria (beacon community services OR fernwood community association OR mental health society of greater victoria OR safer victoria OR the existence project OR united way southern vancouver island OR victoria real estate board OR subsidized housing OR pit count OR front line OR front line worker OR stolen OR camper OR evicted OR collusion) lang:en -is:retweet,Victoria,Positive,0.6831187009811401,,
1122,"HRI has launched a drug discovery project investigating the development of a photo-responsive therapy for ischaemic stroke, led by Dr Xuyu Liu in collaboration with the Victoria University of Wellington, NZ. Read more: https://t.co/vciiV2Eh04 #medicalresearch https://t.co/YZh10ZnrHI",2022-06-20 13:34:30.094929,1536994176084201477,2022-06-15 08:49:02+00:00,0,1,1,0,,,,,DRSVTILAKREDDY2,49,Victoria (beacon community services OR fernwood community association OR mental health society of greater victoria OR safer victoria OR the existence project OR united way southern vancouver island OR victoria real estate board OR subsidized housing OR pit count OR front line OR front line worker OR stolen OR camper OR evicted OR collusion) lang:en -is:retweet,Victoria,Neutral,0.7572394013404846,,
225,"@natasha_yann Ahh wittenoom. Do try to not disturb the soil. Wear your mask.
About half way up the gorge is some awesome camping.",2022-06-20 13:32:35.144589,1537861782609760256,2022-06-17 18:16:35+00:00,0,0,1,0,,,,,EMacskasy,3209,"(sooke OR gonzales OR foul bay OR the gorge OR royal athletic park OR selkirk trestle OR wsáneć) (boys ""and"" girls club south vanouver island OR foundry victoria OR our place society OR salvation army victoria OR the homeless ideas podcast OR vancouver island mental health society OR victoria sexual assault centre OR peer housing support OR pit OR frontline worker OR healthcare OR encampment OR camping OR eviction OR overdose) lang:en -is:retweet",sooke OR gonzales OR foul bay OR the gorge OR royal athletic park OR selkirk trestle OR wsáneć,Positive,0.7715667486190796,,
60,Reminder. Sidney Powell thinks you’d know better than to believe what she claimed about a “stolen election”. https://t.co/p4Tu0ijP1z,2022-06-20 13:31:51.399199,1536697385568673792,2022-06-14 13:09:41+00:00,0,0,0,0,,,,,PurrdyPawws,142,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (beacon community services OR fernwood community association OR mental health society of greater victoria OR safer victoria OR the existence project OR united way southern vancouver island OR victoria real estate board OR subsidized housing OR pit count OR front line OR front line worker OR stolen OR camper OR evicted OR collusion) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew,Negative,0.7381147742271423,,
251,"3 BEYOND @ the GORGE VIP BRACELETS $250 obo

don’t sleep. we out here @ camp all weekend. pull up!",2022-06-20 13:32:36.558254,1538003794990051330,2022-06-18 03:40:54+00:00,0,0,2,1,,,,,cxlcxs,331,(sooke OR gonzales OR foul bay OR the gorge OR royal athletic park OR selkirk trestle OR wsáneć) (burnside gorge neighbourhood association OR greater victoria acting together OR ops OR solid outreach OR the john howard society of victoria OR vibrant victoria OR victoria tenant action group OR peer housing support program OR harm reduction OR front line worker OR complex care OR camp OR tent OR evict OR overdosed) lang:en -is:retweet,sooke OR gonzales OR foul bay OR the gorge OR royal athletic park OR selkirk trestle OR wsáneć,Positive,0.8136029839515686,,
217,Just pulled up to the gorge camping line and I’m FREAKING out lol I’m going so hard this weekend.,2022-06-20 13:32:35.144589,1538011831414927360,2022-06-18 04:12:50+00:00,0,0,6,0,,,,,H_Spencer509,639,"(sooke OR gonzales OR foul bay OR the gorge OR royal athletic park OR selkirk trestle OR wsáneć) (boys ""and"" girls club south vanouver island OR foundry victoria OR our place society OR salvation army victoria OR the homeless ideas podcast OR vancouver island mental health society OR victoria sexual assault centre OR peer housing support OR pit OR frontline worker OR healthcare OR encampment OR camping OR eviction OR overdose) lang:en -is:retweet",sooke OR gonzales OR foul bay OR the gorge OR royal athletic park OR selkirk trestle OR wsáneć,Positive,0.7765348553657532,,
1363,@HoldenVirginia @makolahousing Thank you @holdenvirginia and for the amazing leadership and passion you and the entire team at GVHS bring to affordable housing in #yyj.,2022-06-20 13:35:19.804077,1537294691640610818,2022-06-16 04:43:10+00:00,0,0,0,0,,,,,themarketstores,2392,YYJ (bc housing OR downtown victoria business association OR makola housing society OR rotary club of victoria OR dvba OR umbrella society OR victoria ready OR affordable housing OR point in time OR frontline OR frontline worker OR theft OR homelessness OR drugs OR collude) lang:en -is:retweet,YYJ,Positive,0.973086953163147,,
377,Starting North Dakota Family Camp with the RV Volunteers @ Lakewood Park Bible Camp https://t.co/Rm6gbTeLWu,2022-06-20 13:33:02.270938,1537794871783788546,2022-06-17 13:50:42+00:00,0,0,0,0,,,,,LordsCommand,8,(esquimalt OR north park OR millstream OR victoria west OR topaz park OR 900-block pandora avenue OR tsawout) (burnside gorge neighbourhood association OR greater victoria acting together OR ops OR solid outreach OR the john howard society of victoria OR vibrant victoria OR victoria tenant action group OR peer housing support program OR harm reduction OR front line worker OR complex care OR camp OR tent OR evict OR overdosed) lang:en -is:retweet,esquimalt OR north park OR millstream OR victoria west OR topaz park OR 900-block pandora avenue OR tsawout,Neutral,0.907763123512268,,
