,text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo_full_name,geo_id,geo_bbox,tweet_coordinate,username,num_followers,search_keywords,search_neighbourhood
0,"@NPAVancouver I have petitioned for years to have all the homeless people living on the streets of downtown Eastside to be moved to Vancouver Island and Victoria.  Ive wrote several times to mayor Stewart, never got a reply.",2022-04-13 15:03:16.263686,1514249693877911553,2022-04-13 14:30:35+00:00,0,0,0,0,,,,,GenghisOne23,0,Victoria Homeless,Victoria
1,"On Our Way To Feed The Homeless. Taking My Nephews With Me, Teaching Them The IMPORTANCE Of Giving Back &amp; No Matter How High You Rise, ALWAYS Help The Unfortunate! Shout Out📢📢 To Prophetess/Pastor Victoria Gilchrist For Donating Tons Of Food &amp; Accessories! THANK You😇 https://t.co/Ng3zeamNsX",2022-04-13 15:03:16.263686,1514202246657060866,2022-04-13 11:22:02+00:00,0,0,5,3,,,,,virtue2004,5415,Victoria Homeless,Victoria
2,"We are very excited to announce we will be running our annual community dinner during the last 10 days of Ramadan for the homeless residents at Queen Victoria Seaman’s Rest (QVSR). Dishes and food donations are welcome! 

#Newham #Communitydinner #Homelessoutreach https://t.co/AlA0KOanRQ",2022-04-13 15:03:16.263686,1514166815324315650,2022-04-13 09:01:15+00:00,1,0,6,4,,,,,You_Press,638,Victoria Homeless,Victoria
3,"@Victoria_Spratt Is the agreement a legally binding contract? So far I've read the word ""pledge"". When leaseholders get cladding bills, they are asked to pay in 28 days or face being homeless. Responsible ones get 5 years to only be asked to do the right thing. Fairness? Equality? Nope",2022-04-13 15:03:16.263686,1514155025450295301,2022-04-13 08:14:24+00:00,0,0,5,3,,,,,NorfolkHouseSe8,524,Victoria Homeless,Victoria
4,"You can help the homeless by donating here: https://t.co/EbTkE43077

We can do more!  I’m coming 19th for fundraising for the CEO Sleepout in Victoria so far, and have raised enough to: https://t.co/ZtJKtP0hvr",2022-04-13 15:03:16.263686,1514089612976685060,2022-04-13 03:54:28+00:00,0,0,0,0,,,,,DavidhMarlow,1905,Victoria Homeless,Victoria
5,"@RachelRileyRR @Rachel_SUTDA @Victoria_Hudson @Eve_Barlow @realamberheard It has been confirmed @RachelRileyRR is Condoning racism. Amber Heard sent awful racist text messages-where she mocks a black homeless man, Rachel is promoting Eve Barlow another racist! Birds of a feather flock together",2022-04-13 15:03:16.263686,1514036933751558144,2022-04-13 00:25:09+00:00,0,0,0,0,,,,,centauri_27,247,Victoria Homeless,Victoria
6,@LadyOfTheOcean1 @ShellyRKirchoff @__bee_kay__ @Bigteethyouhave @PridgeWessea @Savageheart3d @gopisdirty @TommyD07868371 @Frdmlvr3691 @jchutch2 @cloudzzz757 @WeaponsofMassD @Flattielover @chriscr66024638 @SkittlesRevenge @DaniTrump2020 @PeterBartholo14 @WickedDog3 @SpongebobBirth @nevacomplyagain @Trukermik @Saggit95 @SuP3rK @jerbear714 @Silver_Strike @KsLiberal @Vickie627 @donnnie @akuscg @PalusoSonny @TheDaveWeinbaum @BC_Missy @victoria_roark @NathanBronson7 @skeeduu @NatForTrump2024 @Jetson77 @PhilipEMSkinne1 @newsjunky2 @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @NanetteDonnelly @VinceGottalotta @mmEyeNewMe @RushvilleRockit @lordstanley2019 @SithLordTwinkie Yet I’ve already said I don’t want Trump to run again. You act like you know me but you haven’t got a clue. You’re an uniformed elitist who thinks throwing a bag of food at the homeless makes you a saint.,2022-04-13 15:03:16.263686,1513986402970738700,2022-04-12 21:04:21+00:00,0,0,3,0,,,,,Synyster63,254,Victoria Homeless,Victoria
7,"@StephenPunwasi @the_ikiru @KarmSumal It's way way way worse now. If you want to see a place that is just ""bad"" you can drive around Victoria and there are a lot of homeless. In Vancouver it's like an army in about a 10 block radius every day. Huge swarms of homeless.",2022-04-13 15:03:16.263686,1513894826495791105,2022-04-12 15:00:28+00:00,0,0,4,0,,,,,RomeTimed,576,Victoria Homeless,Victoria
8,Back in Europe from a visit to British Columbia. Victoria and Vancouver Island very interesting in terms of agritech development but I was dismayed with Vancouver and it's apparent lack of interest in dealing with the mega homeless problem https://t.co/megBjDO6wu,2022-04-13 15:03:16.263686,1513847947422806016,2022-04-12 11:54:11+00:00,0,0,6,0,,,,,DanielRadJ,6589,Victoria Homeless,Victoria
9,When homeless shelters started to appear in Victoria England in the latter half of the 19th century were they contradicted by the long established Workhouses? #UPSC https://t.co/AWZKfKmx4t,2022-04-13 15:03:16.263686,1513671249418936321,2022-04-12 00:12:03+00:00,0,0,0,0,,,,,UPSCPractice,1084,Victoria Homeless,Victoria
10,"Hey @JustinTrudeau instead of talking to Lisa Helps about Electric Vehicle Infrastructure, how about dealing with the homeless problem here in Victoria?

As a single parent I have been living in my car since June with no end in sight.

#bcpoli #Homeless #canadianpoli",2022-04-13 15:03:16.263686,1513580766441066498,2022-04-11 18:12:30+00:00,0,0,1,0,,,,,larknation69,13119,Victoria Homeless,Victoria
