,g,text,scrape_time,tweet_id,created_at,username,search_keywords,relevant
180,6,"@mmeJen Yeah when I did my trip we went from Hollywood up to San Francisco also and back then the only drug/homeless-infested area was Haidt street and Golden Gate Park, and skid row in LA.",2022-08-15 11:05:39.908699,1557429262902329344,2022-08-10 18:10:46+00:00,CPalmerEldritch,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aryze developments OR district of north saanich OR island health OR restorative justice victoria OR the existence project OR united way southern vancouver island OR victoria sexual assault centre OR encampments OR person experiencing homelessness OR tiny town OR collude OR homeless OR social problem) lang:en -is:retweet,
181,6,"Gandikota is a small village in Andhra Pradesh. It is known for housing the spectacular gorge which is adjudged as the Grand Canyon of India. ✨🌄

Download the ^Pataa App 📱 to reach this beautiful attraction - https://t.co/llQW6JlnzZ

#Pataa #AddressesMadeSimple #TuesdayVibe https://t.co/p249hviAMl",2022-08-15 11:08:49.506878,1556904445526831104,2022-08-09 07:25:20+00:00,PataaApp,(colwood OR harris green OR malahat OR pauquachin OR salt spring island OR the gorge OR view royal) (bc housing OR downtown victoria business association OR makola housing society OR safer victoria OR the john howard society of victoria OR vibrant victoria OR workbc OR front line worker OR pit count OR addict OR crime OR housing OR stolen) lang:en -is:retweet,
182,6,"@badwebsites Central Oregon like Bend. Or The Dalles in the Gorge. There are other nice areas, too. Stay out of the Portland metro area unless you like crime, traffic, outrageous housing costs…",2022-08-15 11:08:49.506878,1557611403157983232,2022-08-11 06:14:32+00:00,PNWHeathen,(colwood OR harris green OR malahat OR pauquachin OR salt spring island OR the gorge OR view royal) (bc housing OR downtown victoria business association OR makola housing society OR safer victoria OR the john howard society of victoria OR vibrant victoria OR workbc OR front line worker OR pit count OR addict OR crime OR housing OR stolen) lang:en -is:retweet,
183,6,"My Grandfather has a bit of shared history with her as a liberator of Bergen-Belsen concentration camp where she died, but there is now an Anne Frank Memorial at Ellice Park, Mt Victoria, Wellington. https://t.co/B5ja5XKRzM",2022-08-15 11:10:37.899445,1558641199329644544,2022-08-14 02:26:34+00:00,DobicoDan,Victoria (aceh OR city of langford OR greater victoria housing society OR quadra village community centre OR tenant action group victoria OR town of view royal OR victoria native friendship centre OR couch surfing OR peer housing support OR subsidized housing OR camp OR evicition OR poverty OR unhoused) lang:en -is:retweet,
184,6,"@AidaGreenbury Just outside Taman Negara Gunung Leuser in North Sumatra (though I used to hang out on the other side of the mountains in the centre of the park - Aceh Tenggara, Gayo Lues and beyond).",2022-08-15 11:05:31.852263,1558416498372198401,2022-08-13 11:33:41+00:00,silumanmawas,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aceh OR city of langford OR greater victoria housing society OR quadra village community centre OR tenant action group victoria OR town of view royal OR victoria native friendship centre OR couch surfing OR peer housing support OR subsidized housing OR camp OR evicition OR poverty OR unhoused) lang:en -is:retweet,
185,6,"@calgodde @ChristyDanFan It wouldn’t matter if #IStandWithDan opened 50 new hospitals 200 tunnels 100,000 homes for the homeless 200,000 homes for DV victims etc etc..these trolls will still say he doesn’t do anything for Victoria..when he’s done more than the last 5 premiers put together #AusPol2022",2022-08-15 11:10:47.680976,1557539293647994880,2022-08-11 01:27:59+00:00,AussiewitchT,Victoria (aryze developments OR district of north saanich OR island health OR restorative justice victoria OR the existence project OR united way southern vancouver island OR victoria sexual assault centre OR encampments OR person experiencing homelessness OR tiny town OR collude OR homeless OR social problem) lang:en -is:retweet,
186,6,"Watch ""HAVE YOU SEEN VICTORIA GONZALEZ 14 MISSING FROM HOLLYWOOD, FLORIDA SINCE SEPTEMBER 17,  2021"" ArcticFox True Crime @ArcticfoxTrue

#VICTORIAGONZALEZ #HelpFindVictoria #MISSING #Hollywood #Miramar #Florida 
@Helpfindvictor1 

https://t.co/oipv3YFxWW https://t.co/bRzPzU9saB",2022-08-15 11:10:54.428334,1559008072349138946,2022-08-15 02:44:24+00:00,p_tadvocate,Victoria (bc housing OR downtown victoria business association OR makola housing society OR safer victoria OR the john howard society of victoria OR vibrant victoria OR workbc OR front line worker OR pit count OR addict OR crime OR housing OR stolen) lang:en -is:retweet,
187,6,"It's game day in Tampa Bay! This year you can hear every game live on air (97.9FM), on the iHeartRadio app and on your Alexa or Google home devices, just ask it to ""Play WXTB on iHeartRadio"" 

https://t.co/06rLIGZqA9 https://t.co/nPc2EJPIIN",2022-08-15 11:06:02.951510,1558573722864320512,2022-08-13 21:58:27+00:00,921CTQ,(beacon hill park OR fairfield-gonzales OR irving park OR north saanich OR rock bay OR sidney OR tseycum) (anawim house OR cool aid society OR homelessness services association of bc OR rentsmart OR the cridge centre for the family OR umbrella society OR victoria ready OR encampment OR people with lived experience OR temporary shelter OR camping OR home OR social housing) lang:en -is:retweet,
188,6,"Brandon Davis (2023/Laurel Highlands) is a guy who should definitely have D1 interest

Crafty, skilled, pit bull. Loves winning. Good size and is lightning quick 

Good one to follow as he heads into his senior year 

@CBG_BDavis https://t.co/MSzeVuks43",2022-08-15 11:09:12.270194,1558534906824851456,2022-08-13 19:24:12+00:00,ck4basketball,(cook street village OR highlands OR metchosin OR point ellice park OR sc'ianew OR topaz park OR west shore) (avi OR district of saanich OR literacy victoria OR rotary club of victoria OR the homeless ideas podcast OR vancouver island mental health society OR victoria women in need OR front line OR pit OR #povertypimps OR collusion OR homelessness OR social structure) lang:en -is:retweet,
189,6,"Selling your home by yourself can be...frustrating. Don't get mad, get a real estate pro!

#Kellyg #ComeSellwithMe 
#VictoriaBC #VancouverIsland #Victoria #Remax #RemaxCamosun
#YYJRealEstate #VictoriaRealEstate
#YYJRealtor #VictoriaRealtor https://t.co/Tbg2un3Io3",2022-08-15 11:11:13.361494,1558956302650556419,2022-08-14 23:18:41+00:00,KGrymaloski,VictoriaBC (anawim house OR cool aid society OR homelessness services association of bc OR rentsmart OR the cridge centre for the family OR umbrella society OR victoria ready OR encampment OR people with lived experience OR temporary shelter OR camping OR home OR social housing) lang:en -is:retweet,
190,6,"Anderson vs Fairfield Watch Live Game; https://t.co/njVT69O7yd
The Fairfield (OH) varsity soccer team is at their home non-conference game vs. Anderson (Cincinnati, OH).

Game Details: Scrimmage",2022-08-15 11:05:37.413016,1558493235575525378,2022-08-13 16:38:37+00:00,Portland_Jared,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (anawim house OR cool aid society OR homelessness services association of bc OR rentsmart OR the cridge centre for the family OR umbrella society OR victoria ready OR encampment OR people with lived experience OR temporary shelter OR camping OR home OR social housing) lang:en -is:retweet,
191,6,"@gracechannel0 That's Central Park, not Times Square.

Regardless, I hope that poor🐴will be fine.

Ban carriage rides &amp; promote riding healthy, happy🐴instead.

Folk learn to bond w/ animals, appreciate nature....

I haven't seen this in yrs; the bridle path is there👇
https://t.co/0TJmHusn9T.",2022-08-15 11:07:09.776356,1557539123568705536,2022-08-11 01:27:19+00:00,Robert75129369,"(central park OR gonzales OR langford OR oaklands OR royal athletic park OR sooke OR vic west) (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR peers victoria resources society OR substance uvic OR vreb OR victoria harbour cats OR coordinated access ""and"" assessment OR low income OR service provider OR alcoholic OR evicted OR poor OR thief) lang:en -is:retweet",
192,6,"Looking for a Detached Home like this?? 🏘️ check this website daily for the latest listings.
Go to https://t.co/cckOFO3va3
Visit us https://t.co/JXwSh6FBZe
#yyj #yyjre #yyjrealtor #Detached #exprealty #yvr #love #realestate #toprealtor #yyjbuyers #buyers #realestate #victoriabc https://t.co/9TbtXy9IDX",2022-08-15 11:12:27.993086,1557924970080223232,2022-08-12 03:00:32+00:00,ParkerRuth36,YYJ (anawim house OR cool aid society OR homelessness services association of bc OR rentsmart OR the cridge centre for the family OR umbrella society OR victoria ready OR encampment OR people with lived experience OR temporary shelter OR camping OR home OR social housing) lang:en -is:retweet,
